id,name,type,path,lifecycle,audience_size_lower_bound,audience_size_upper_bound
6002839660079,Cosmetics (personal care),interests,"['Shopping and fashion', 'Beauty (social concept)', 'Cosmetics (personal care)']",2,954268571,1122219840
6002866718622,Science (science),interests,"['Business and industry', 'Science (science)']",2,600334489,705993360
6002867432822,Beauty (social concept),interests,"['Shopping and fashion', 'Beauty (social concept)']",2,1271912474,1495769070
6002868021822,Adventure travel (travel & tourism),interests,"['Hobbies and activities', 'Travel (travel & tourism)', 'Adventure travel (travel & tourism)']",2,275203844,323639721
6002868910910,Organic food (food & drink),interests,"['Food and drink (consumables)', 'Food (food & drink)', 'Organic food (food & drink)']",2,273132221,321203492
6002884511422,Small business (business & finance),interests,"['Business and industry', 'Small business (business & finance)']",2,177101195,208271006
6002920953955,Interior design (design),interests,"['Business and industry', 'Design (design)', 'Interior design (design)']",2,488461241,574430420
6002925538921,Acting (performing arts),interests,"['Hobbies and activities', 'Arts and music (art)', 'Acting (performing arts)']",2,195934863,230419400
6002926108721,Vacations (social concept),interests,"['Hobbies and activities', 'Travel (travel & tourism)', 'Vacations (social concept)']",2,312986868,368072557
6002929380259,Volleyball (sport),interests,"['Sports and outdoors', 'Sports (sports)', 'Volleyball (sport)']",2,342179787,402403430
6002936693259,Soft drinks (nonalcoholic beverage),interests,"['Food and drink (consumables)', 'Beverages (food & drink)', 'Soft drinks (nonalcoholic beverage)']",2,187387091,220367220
6002951587955,Classical music (music),interests,"['Entertainment (leisure)', 'Music (entertainment & media)', 'Classical music (music)']",2,324272448,381344400
6002957026250,Theatre (performing arts),interests,"['Entertainment (leisure)', 'Live events (entertainment)', 'Theatre (performing arts)']",2,512677397,602908620
6002960574320,Tablet computers (computers & electronics),interests,"['Technology (computers & electronics)', 'Computers (computers & electronics)', 'Tablet computers (computers & electronics)']",2,512619285,602840280
6002963523717,Aviation (air travel),interests,"['Business and industry', 'Aviation (air travel)']",2,164384736,193316450
6002964239317,Mexican cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Mexican cuisine (food & drink)']",8,102614047,120674120
6002964500317,Word games (games),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Word games (games)']",2,62499974,73499970
6002970406974,Concerts (music event),interests,"['Entertainment (leisure)', 'Live events (entertainment)', 'Concerts (music event)']",2,259957134,305709590
6002971085794,Mobile phones (smart phone),interests,"['Technology (computers & electronics)', 'Consumer electronics (computers & electronics)', 'Mobile phones (smart phone)']",2,1007046692,1184286910
6002971095994,Action games (video games),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Action games (video games)']",2,152967687,179890000
6002979499920,Fishing (outdoors activities),interests,"['Sports and outdoors', 'Outdoor recreation (outdoors activities)', 'Fishing (outdoors activities)']",2,278638503,327678880
6002984573619,Surfing (water sport),interests,"['Sports and outdoors', 'Outdoor recreation (outdoors activities)', 'Surfing (water sport)']",2,126273336,148497444
6002985584323,Outdoor recreation (outdoors activities),interests,"['Sports and outdoors', 'Outdoor recreation (outdoors activities)']",2,581478290,683818470
6002986104968,Mystery fiction (entertainment & media),interests,"['Entertainment (leisure)', 'Reading (communication)', 'Mystery fiction (entertainment & media)']",2,147119005,173011950
6002991239659,Motherhood (children & parenting),interests,"['Family and relationships', 'Motherhood (children & parenting)']",2,698407040,821326680
6002991736368,Reading (communication),interests,"['Entertainment (leisure)', 'Reading (communication)']",2,1279238928,1504384980
6002997799844,Singing (music),interests,"['Hobbies and activities', 'Arts and music (art)', 'Singing (music)']",2,425761938,500696040
